visita_id,cliente_id,data_visita,canal,dispositivo
122,14,2023-02-19,Redes Sociais,Mobile
123,14,2024-06-10,Email,Desktop
124,15,2024-12-09,Anúncio,Desktop
125,15,2024-11-16,Redes Sociais,Desktop
126,15,2024-03-14,Redes Sociais,Desktop
127,15,2023-01-22,Anúncio,Mobile
128,15,2024-08-30,Orgânico,Desktop
129,15,2024-09-10,Email,Desktop
130,15,2024-01-23,Orgânico,Mobile
131,15,2023-06-30,Anúncio,Mobile
132,15,2022-11-30,Orgânico,Mobile
133,15,2023-05-17,Redes Sociais,Mobile
134,15,2024-02-04,Orgânico,Desktop
135,15,2022-01-14,Email,Mobile
136,15,2022-11-06,Anúncio,Mobile
137,15,2024-08-31,Orgânico,Desktop
138,15,2022-12-06,Orgânico,Mobile
139,15,2024-01-27,Anúncio,Mobile
140,15,2022-11-02,Anúncio,Desktop
141,15,2023-09-17,Redes Sociais,Mobile
142,16,2023-03-18,Redes Sociais,Desktop
143,16,2023-08-20,Redes Sociais,Desktop
144,16,2024-05-11,Anúncio,Mobile
145,16,2024-09-25,Orgânico,Mobile
146,16,2024-12-28,Email,Desktop
147,16,2024-03-29,Orgânico,Mobile
148,16,2023-12-10,Anúncio,Mobile
149,16,2022-09-22,Redes Sociais,Desktop
150,16,2024-04-11,Anúncio,Desktop
151,16,2023-11-05,Redes Sociais,Mobile
152,16,2022-09-08,Anúncio,Mobile
153,16,2023-06-14,Redes Sociais,Mobile
154,16,2024-06-13,Orgânico,Mobile
155,16,2022-08-04,Email,Desktop
156,16,2022-05-05,Anúncio,Mobile
157,16,2022-02-28,Email,Mobile
158,17,2022-08-16,Email,Desktop
159,17,2022-11-14,Email,Desktop
160,17,2024-05-23,Email,Desktop
161,17,2023-09-17,Orgânico,Desktop
162,17,2024-11-07,Anúncio,Mobile
163,17,2022-04-23,Orgânico,Mobile
164,17,2022-10-22,Orgânico,Desktop
165,17,2024-09-03,Redes Sociais,Desktop
166,17,2024-07-07,Anúncio,Mobile
167,17,2024-02-01,Anúncio,Desktop
168,18,2022-03-12,Email,Desktop
169,18,2023-08-05,Anúncio,Desktop
170,18,2022-07-12,Email,Desktop
171,18,2022-02-21,Anúncio,Mobile
172,19,2023-06-05,Redes Sociais,Mobile
173,19,2023-11-22,Anúncio,Desktop
174,19,2023-06-16,Email,Mobile
175,19,2024-04-19,Orgânico,Desktop
176,19,2022-08-29,Orgânico,Desktop
177,19,2022-03-24,Anúncio,Mobile
178,19,2024-08-08,Email,Mobile
179,19,2023-07-28,Anúncio,Mobile
180,19,2023-04-04,Email,Desktop
181,19,2023-03-01,Anúncio,Desktop
182,19,2022-04-22,Anúncio,Mobile
183,19,2022-05-02,Orgânico,Desktop
184,19,2023-02-02,Redes Sociais,Mobile
185,19,2023-07-23,Email,Desktop
186,20,2024-06-15,Email,Mobile
187,20,2023-12-11,Orgânico,Mobile
188,20,2022-06-28,Orgânico,Mobile
189,21,2023-05-07,Redes Sociais,Mobile
190,21,2024-12-13,Email,Desktop
191,21,2024-04-27,Email,Mobile
192,21,2023-08-09,Email,Mobile
193,21,2023-06-19,Redes Sociais,Desktop
194,21,2023-11-24,Redes Sociais,Desktop
195,21,2024-03-24,Orgânico,Desktop
196,21,2023-08-13,Email,Mobile
197,21,2023-08-31,Redes Sociais,Desktop
198,21,2024-10-30,Anúncio,Mobile
199,21,2023-04-30,Email,Desktop
200,21,2024-03-10,Orgânico,Desktop
201,21,2022-05-09,Anúncio,Mobile
202,21,2023-05-16,Anúncio,Desktop
203,21,2022-07-30,Anúncio,Desktop
204,21,2022-02-14,Orgânico,Mobile
205,22,2023-01-26,Redes Sociais,Desktop
206,22,2022-01-27,Anúncio,Mobile
207,22,2024-09-01,Email,Mobile
208,22,2023-07-21,Email,Mobile
209,22,2022-07-04,Orgânico,Mobile
210,22,2024-04-27,Redes Sociais,Desktop
211,22,2022-03-20,Redes Sociais,Mobile
212,22,2023-02-17,Anúncio,Mobile
213,22,2022-06-18,Orgânico,Mobile
214,22,2023-08-06,Redes Sociais,Desktop
215,22,2022-02-01,Redes Sociais,Desktop
216,22,2024-12-02,Redes Sociais,Mobile
217,22,2024-10-21,Orgânico,Desktop
218,23,2024-10-30,Redes Sociais,Desktop
219,23,2022-08-14,Anúncio,Desktop
220,23,2024-07-05,Anúncio,Desktop
221,23,2022-03-15,Redes Sociais,Mobile
222,23,2022-02-25,Email,Mobile
223,23,2022-02-01,Redes Sociais,Desktop
224,24,2022-07-06,Anúncio,Desktop
225,24,2022-05-10,Redes Sociais,Desktop
226,24,2022-04-24,Redes Sociais,Mobile
227,24,2023-03-20,Anúncio,Desktop
228,24,2023-03-23,Anúncio,Mobile
229,24,2023-12-16,Anúncio,Mobile
230,24,2022-04-11,Email,Mobile
231,24,2022-02-10,Orgânico,Desktop
232,24,2023-01-01,Email,Mobile
233,24,2023-10-19,Email,Mobile
234,24,2024-04-04,Anúncio,Desktop
235,24,2024-06-07,Email,Desktop
236,24,2024-09-10,Orgânico,Desktop
237,24,2022-04-27,Anúncio,Desktop
238,24,2022-06-17,Anúncio,Mobile
239,24,2023-10-23,Anúncio,Mobile
240,24,2024-07-13,Email,Desktop
241,25,2024-07-01,Anúncio,Desktop
242,25,2023-05-11,Email,Mobile
243,25,2023-07-11,Anúncio,Mobile
244,25,2022-03-14,Anúncio,Mobile
245,25,2022-06-06,Redes Sociais,Desktop
246,25,2024-10-15,Email,Desktop
247,25,2023-07-13,Redes Sociais,Desktop
248,25,2022-09-22,Orgânico,Mobile
249,25,2022-06-04,Redes Sociais,Desktop
250,25,2024-09-23,Redes Sociais,Mobile
251,25,2024-05-07,Email,Desktop
252,25,2023-12-30,Anúncio,Desktop
253,25,2022-04-02,Orgânico,Desktop
254,26,2023-03-26,Orgânico,Desktop
255,26,2024-02-26,Orgânico,Desktop
256,26,2023-08-11,Orgânico,Desktop
257,27,2024-12-08,Redes Sociais,Desktop
258,27,2024-05-17,Orgânico,Desktop
259,27,2024-12-05,Anúncio,Desktop
260,28,2023-02-12,Orgânico,Desktop
261,28,2023-07-15,Orgânico,Desktop
262,28,2023-04-09,Email,Desktop
263,28,2023-05-02,Email,Desktop
264,28,2022-05-28,Email,Mobile
265,28,2024-03-21,Anúncio,Desktop
266,28,2022-07-18,Orgânico,Desktop
267,28,2022-10-28,Email,Mobile
268,28,2024-08-20,Email,Desktop
269,28,2023-04-04,Anúncio,Desktop
270,28,2023-09-12,Anúncio,Mobile
271,28,2023-12-31,Email,Mobile
272,28,2024-02-20,Anúncio,Desktop
273,28,2024-06-12,Anúncio,Desktop
274,28,2022-10-09,Orgânico,Desktop
275,28,2024-09-22,Email,Desktop
276,29,2022-03-28,Redes Sociais,Mobile
277,29,2024-03-01,Orgânico,Desktop
278,29,2022-10-31,Email,Desktop
279,29,2023-08-19,Email,Mobile
280,29,2023-07-12,Redes Sociais,Mobile
281,29,2022-03-19,Email,Mobile
282,29,2023-11-05,Email,Mobile
283,29,2022-08-26,Anúncio,Mobile
284,29,2022-10-05,Anúncio,Desktop
285,29,2022-06-29,Redes Sociais,Desktop
286,30,2024-12-30,Email,Desktop
287,30,2024-11-08,Anúncio,Desktop
288,30,2023-07-19,Redes Sociais,Mobile
289,30,2024-03-26,Redes Sociais,Mobile
290,30,2024-12-28,Redes Sociais,Mobile
291,30,2022-07-11,Redes Sociais,Desktop
292,30,2023-08-04,Redes Sociais,Mobile
293,30,2024-10-29,Redes Sociais,Mobile
294,30,2022-04-03,Anúncio,Mobile
295,30,2023-02-09,Email,Mobile
296,30,2024-06-07,Redes Sociais,Desktop
297,30,2023-04-17,Orgânico,Mobile
298,30,2023-09-23,Anúncio,Mobile
299,30,2024-11-03,Anúncio,Desktop
300,30,2022-12-30,Redes Sociais,Desktop
301,30,2023-06-30,Orgânico,Desktop
302,30,2023-09-26,Orgânico,Mobile
303,30,2024-08-20,Anúncio,Mobile
304,30,2024-06-01,Orgânico,Desktop
305,31,2023-05-31,Anúncio,Mobile
306,31,2024-05-15,Anúncio,Mobile
307,31,2022-08-02,Orgânico,Desktop
308,31,2024-04-29,Orgânico,Mobile
309,31,2023-10-04,Email,Mobile
310,31,2022-11-26,Anúncio,Desktop
311,31,2023-01-27,Orgânico,Mobile
312,32,2024-06-13,Email,Mobile
313,32,2024-10-22,Email,Desktop
314,32,2023-09-28,Orgânico,Desktop
315,32,2023-04-14,Email,Desktop
316,32,2024-10-28,Email,Mobile
317,32,2024-05-23,Email,Mobile
318,32,2024-01-22,Anúncio,Desktop
319,32,2024-09-07,Anúncio,Mobile
320,32,2022-08-24,Anúncio,Desktop
321,32,2023-11-10,Email,Desktop
322,32,2024-05-04,Redes Sociais,Mobile
323,33,2023-02-14,Anúncio,Desktop
324,34,2022-03-27,Email,Desktop
325,34,2023-01-13,Anúncio,Mobile
326,34,2024-12-10,Anúncio,Desktop
327,34,2024-07-08,Redes Sociais,Desktop
328,34,2023-12-13,Orgânico,Desktop
329,34,2022-03-11,Orgânico,Mobile
330,34,2022-02-08,Email,Mobile
331,34,2024-11-07,Email,Desktop
332,34,2024-04-04,Email,Desktop
333,34,2022-10-10,Anúncio,Desktop
334,34,2024-10-13,Email,Desktop
335,34,2023-06-28,Anúncio,Desktop
336,35,2024-03-01,Anúncio,Mobile
337,35,2022-06-29,Email,Desktop
338,35,2022-12-09,Orgânico,Mobile
339,35,2023-07-30,Redes Sociais,Desktop
340,35,2022-10-16,Orgânico,Desktop
341,35,2023-06-14,Redes Sociais,Mobile
342,35,2022-08-17,Anúncio,Desktop
343,35,2023-03-11,Anúncio,Mobile
344,35,2023-02-06,Anúncio,Desktop
345,35,2022-03-29,Email,Mobile
346,35,2022-11-05,Anúncio,Mobile
347,36,2022-05-19,Anúncio,Desktop
348,36,2024-07-31,Orgânico,Desktop
349,36,2024-12-01,Redes Sociais,Desktop
350,36,2024-01-11,Anúncio,Mobile
351,36,2024-08-11,Redes Sociais,Mobile
352,36,2024-04-12,Email,Desktop
353,36,2023-06-30,Orgânico,Mobile
354,36,2022-02-26,Email,Mobile
355,36,2024-11-02,Redes Sociais,Mobile
356,36,2022-03-31,Email,Mobile
357,36,2023-11-29,Anúncio,Mobile
358,36,2024-06-16,Redes Sociais,Desktop
359,36,2023-10-30,Anúncio,Mobile
360,36,2023-04-30,Anúncio,Desktop
361,36,2023-10-01,Orgânico,Mobile
362,36,2022-10-09,Anúncio,Desktop
363,36,2022-01-16,Redes Sociais,Desktop
364,37,2023-06-28,Redes Sociais,Mobile
365,37,2024-04-24,Orgânico,Mobile
366,37,2023-01-01,Anúncio,Mobile
367,37,2024-01-30,Redes Sociais,Mobile
368,37,2024-11-29,Email,Desktop
369,37,2022-09-12,Redes Sociais,Desktop
370,37,2023-12-11,Orgânico,Desktop
371,37,2022-01-11,Email,Desktop
372,37,2024-08-14,Orgânico,Mobile
373,38,2022-08-25,Orgânico,Mobile
374,38,2023-04-06,Redes Sociais,Mobile
375,38,2024-09-16,Orgânico,Mobile
376,38,2022-03-09,Email,Desktop
377,38,2023-11-02,Orgânico,Desktop
378,38,2022-10-27,Email,Desktop
379,38,2022-12-23,Email,Desktop
380,38,2022-12-19,Email,Mobile
381,38,2023-06-08,Orgânico,Desktop
382,38,2024-01-26,Anúncio,Desktop
383,38,2022-04-09,Orgânico,Desktop
384,38,2024-05-27,Anúncio,Mobile
385,38,2023-09-07,Anúncio,Mobile
386,38,2023-01-03,Anúncio,Desktop
387,38,2024-12-01,Anúncio,Desktop
388,38,2023-06-29,Redes Sociais,Desktop
389,39,2024-02-07,Redes Sociais,Desktop
390,39,2023-01-12,Redes Sociais,Desktop
391,39,2023-02-03,Orgânico,Mobile
392,39,2022-07-01,Redes Sociais,Desktop
393,39,2024-10-10,Email,Mobile
394,39,2024-04-27,Email,Desktop
395,39,2022-08-03,Email,Desktop
396,39,2022-04-11,Redes Sociais,Mobile
397,39,2023-07-27,Orgânico,Desktop
398,40,2024-12-22,Orgânico,Mobile
399,40,2022-08-14,Orgânico,Desktop
400,40,2024-02-11,Orgânico,Mobile
401,40,2023-03-05,Anúncio,Mobile
402,40,2024-11-17,Anúncio,Desktop
403,40,2023-08-11,Email,Mobile
404,40,2024-05-15,Anúncio,Mobile
405,40,2024-05-13,Anúncio,Mobile
406,40,2023-01-03,Redes Sociais,Mobile
407,40,2024-05-05,Redes Sociais,Desktop
408,40,2023-07-15,Anúncio,Desktop
409,41,2023-03-09,Redes Sociais,Mobile
410,41,2024-04-15,Redes Sociais,Mobile
411,41,2024-06-16,Orgânico,Desktop
412,41,2022-09-04,Anúncio,Mobile
413,42,2024-07-15,Redes Sociais,Desktop
414,42,2023-07-14,Redes Sociais,Mobile
415,42,2023-11-20,Email,Desktop
416,42,2023-11-28,Redes Sociais,Mobile
417,42,2024-06-29,Redes Sociais,Desktop
418,42,2024-08-17,Anúncio,Desktop
419,42,2024-07-14,Email,Mobile
420,42,2024-05-03,Anúncio,Mobile
421,42,2024-01-24,Redes Sociais,Desktop
422,42,2024-03-27,Email,Mobile
423,42,2023-12-09,Redes Sociais,Desktop
424,42,2022-07-26,Redes Sociais,Desktop
425,42,2023-06-12,Orgânico,Mobile
426,42,2024-10-06,Orgânico,Mobile
427,42,2023-02-07,Anúncio,Mobile
428,43,2022-07-25,Anúncio,Desktop
429,43,2024-05-17,Email,Desktop
430,43,2022-01-19,Orgânico,Desktop
431,43,2024-10-27,Orgânico,Desktop
432,43,2023-08-03,Redes Sociais,Desktop
433,43,2022-11-21,Redes Sociais,Desktop
434,43,2024-09-18,Anúncio,Mobile
435,43,2022-08-19,Orgânico,Desktop
436,43,2023-01-29,Anúncio,Desktop
437,43,2023-11-22,Orgânico,Desktop
438,43,2023-08-27,Orgânico,Mobile
439,43,2022-03-26,Anúncio,Mobile
440,43,2022-02-18,Orgânico,Mobile
441,43,2022-03-10,Anúncio,Mobile
442,43,2023-04-24,Email,Mobile
443,43,2022-05-27,Email,Desktop
444,43,2024-10-12,Orgânico,Desktop
445,43,2022-08-09,Redes Sociais,Mobile
446,44,2022-04-05,Anúncio,Mobile
447,44,2024-06-15,Redes Sociais,Desktop
448,44,2022-08-07,Orgânico,Desktop
449,44,2022-05-07,Email,Desktop
450,45,2024-09-09,Email,Desktop
451,45,2023-05-01,Anúncio,Mobile
452,45,2022-06-05,Orgânico,Desktop
453,45,2024-12-16,Orgânico,Mobile
454,45,2022-08-25,Redes Sociais,Desktop
455,45,2022-10-04,Redes Sociais,Mobile
456,45,2023-07-06,Redes Sociais,Mobile
457,45,2023-10-01,Orgânico,Desktop
458,45,2022-02-24,Email,Desktop
459,45,2023-11-15,Orgânico,Desktop
460,45,2023-01-08,Orgânico,Mobile
461,45,2022-07-20,Orgânico,Mobile
462,45,2022-10-02,Redes Sociais,Desktop
463,45,2023-12-04,Anúncio,Desktop
464,46,2024-11-06,Redes Sociais,Mobile
465,46,2022-09-15,Redes Sociais,Desktop
466,46,2023-09-04,Redes Sociais,Mobile
467,46,2024-04-16,Redes Sociais,Desktop
468,46,2024-01-28,Redes Sociais,Mobile
469,46,2023-02-28,Orgânico,Desktop
470,46,2022-07-23,Email,Desktop
471,46,2022-10-12,Orgânico,Desktop
472,46,2022-11-03,Email,Desktop
473,47,2024-12-16,Redes Sociais,Desktop
474,47,2023-06-13,Anúncio,Desktop
475,47,2022-07-28,Orgânico,Mobile
476,47,2022-09-09,Orgânico,Mobile
477,47,2024-07-08,Email,Mobile
478,48,2024-03-05,Redes Sociais,Mobile
479,48,2023-12-26,Orgânico,Mobile
480,48,2023-10-03,Anúncio,Mobile
481,49,2024-06-10,Anúncio,Desktop
482,49,2024-11-16,Email,Desktop
483,49,2023-11-10,Orgânico,Mobile
484,49,2023-03-04,Email,Desktop
485,49,2024-07-20,Anúncio,Desktop
486,49,2024-11-27,Redes Sociais,Mobile
487,49,2023-01-28,Redes Sociais,Mobile
488,50,2023-07-01,Anúncio,Mobile
489,50,2022-06-07,Email,Mobile
490,50,2024-08-17,Orgânico,Desktop
491,50,2022-07-13,Redes Sociais,Desktop
492,50,2024-03-26,Email,Mobile
493,50,2023-11-09,Redes Sociais,Desktop
494,50,2022-03-29,Orgânico,Mobile
495,50,2022-05-20,Anúncio,Mobile
496,50,2022-06-27,Anúncio,Desktop
497,50,2023-01-15,Email,Mobile
498,50,2023-10-20,Anúncio,Desktop
499,50,2023-04-08,Anúncio,Desktop
500,50,2022-05-02,Orgânico,Desktop
501,50,2022-11-23,Anúncio,Mobile
502,51,2023-05-18,Redes Sociais,Mobile
503,51,2023-12-11,Anúncio,Desktop
504,51,2022-02-14,Anúncio,Mobile
505,51,2023-02-22,Email,Mobile
506,51,2022-11-22,Anúncio,Mobile
507,51,2023-05-30,Anúncio,Desktop
508,51,2022-03-15,Redes Sociais,Mobile
509,51,2023-05-24,Email,Mobile
510,51,2023-11-19,Orgânico,Mobile
511,51,2024-10-24,Anúncio,Mobile
512,51,2023-08-23,Orgânico,Desktop
513,51,2022-11-21,Email,Desktop
514,51,2023-12-18,Redes Sociais,Mobile
515,51,2023-06-20,Anúncio,Desktop
516,51,2022-06-01,Redes Sociais,Mobile
517,51,2022-09-16,Email,Mobile
518,51,2024-05-18,Email,Desktop
519,51,2022-11-06,Redes Sociais,Mobile
520,51,2024-12-15,Email,Mobile
521,52,2023-04-06,Email,Desktop
522,52,2024-04-25,Orgânico,Mobile
523,52,2022-09-19,Orgânico,Desktop
524,52,2022-12-21,Orgânico,Mobile
525,52,2024-02-09,Orgânico,Mobile
526,52,2022-06-29,Anúncio,Desktop
527,52,2022-06-20,Redes Sociais,Desktop
528,52,2023-06-18,Redes Sociais,Mobile
529,53,2022-08-15,Email,Desktop
530,53,2023-01-31,Email,Mobile
531,53,2022-03-25,Redes Sociais,Mobile
532,54,2023-11-24,Orgânico,Desktop
533,54,2024-08-27,Orgânico,Mobile
534,54,2022-02-09,Anúncio,Desktop
535,54,2023-10-02,Orgânico,Mobile
536,54,2022-09-16,Email,Mobile
537,54,2023-12-31,Redes Sociais,Desktop
538,54,2024-04-18,Orgânico,Desktop
539,54,2022-06-11,Redes Sociais,Desktop
540,54,2023-06-27,Redes Sociais,Mobile
541,54,2024-04-18,Orgânico,Desktop
542,54,2024-12-29,Orgânico,Mobile
543,54,2023-02-20,Email,Mobile
544,54,2024-01-08,Anúncio,Desktop
545,55,2023-12-12,Redes Sociais,Mobile
546,55,2023-01-30,Anúncio,Mobile
547,55,2024-01-20,Anúncio,Desktop
548,55,2023-10-04,Email,Desktop
549,55,2023-01-04,Orgânico,Desktop
550,55,2022-02-18,Email,Mobile
551,55,2022-05-13,Redes Sociais,Desktop
552,55,2023-01-08,Orgânico,Desktop
553,55,2023-04-24,Email,Desktop
554,55,2023-11-13,Redes Sociais,Desktop
555,55,2022-03-23,Redes Sociais,Mobile
556,55,2022-01-16,Anúncio,Desktop
557,56,2023-05-29,Anúncio,Mobile
558,56,2023-11-12,Email,Mobile
559,56,2022-06-30,Redes Sociais,Mobile
560,57,2024-07-11,Anúncio,Desktop
561,57,2023-07-19,Redes Sociais,Desktop
562,57,2023-03-29,Redes Sociais,Desktop
563,57,2024-01-08,Orgânico,Mobile
564,57,2022-08-12,Anúncio,Desktop
565,57,2022-12-17,Redes Sociais,Mobile
566,57,2022-12-15,Anúncio,Mobile
567,57,2024-10-14,Redes Sociais,Mobile
568,57,2024-02-11,Anúncio,Mobile
569,57,2024-10-12,Email,Mobile
570,57,2023-01-07,Redes Sociais,Mobile
571,57,2024-09-19,Orgânico,Mobile
572,57,2024-01-05,Anúncio,Desktop
573,58,2023-08-26,Email,Mobile
574,58,2022-12-04,Redes Sociais,Mobile
575,59,2023-11-02,Email,Mobile
576,59,2024-06-15,Orgânico,Mobile
577,59,2023-08-19,Redes Sociais,Mobile
578,60,2022-07-29,Anúncio,Desktop
579,60,2024-08-17,Anúncio,Mobile
580,60,2024-02-16,Anúncio,Desktop
581,60,2022-08-18,Orgânico,Mobile
582,60,2022-01-10,Anúncio,Desktop
583,60,2023-11-07,Anúncio,Mobile
584,60,2022-02-18,Redes Sociais,Desktop
585,60,2024-10-04,Orgânico,Mobile
586,60,2024-08-27,Orgânico,Desktop
587,60,2022-08-06,Orgânico,Mobile
588,60,2024-10-01,Anúncio,Desktop
589,60,2022-09-12,Email,Desktop
590,60,2022-09-28,Redes Sociais,Desktop
591,60,2022-09-16,Email,Mobile
592,60,2024-05-12,Orgânico,Desktop
593,60,2022-07-27,Redes Sociais,Mobile
594,60,2022-05-29,Anúncio,Desktop
595,60,2022-06-04,Anúncio,Desktop
596,60,2022-12-24,Anúncio,Mobile
597,61,2023-04-01,Email,Mobile
598,61,2023-09-21,Redes Sociais,Desktop
599,61,2023-05-01,Orgânico,Desktop
600,61,2023-01-06,Anúncio,Mobile
601,61,2024-05-02,Email,Desktop
602,61,2024-02-27,Email,Desktop
603,61,2022-01-31,Anúncio,Mobile
604,61,2023-08-28,Email,Mobile
605,61,2023-05-17,Email,Desktop
606,61,2024-06-04,Orgânico,Desktop
607,61,2024-04-18,Redes Sociais,Mobile
608,62,2024-04-27,Anúncio,Desktop
609,62,2023-03-08,Anúncio,Mobile
610,62,2022-01-14,Orgânico,Mobile
611,62,2023-05-26,Redes Sociais,Desktop
612,62,2024-09-14,Email,Desktop
613,62,2023-12-28,Orgânico,Mobile
614,62,2023-07-08,Redes Sociais,Desktop
615,62,2023-11-07,Orgânico,Mobile
616,63,2024-04-13,Orgânico,Mobile
617,63,2024-07-11,Orgânico,Mobile
618,63,2024-04-21,Anúncio,Desktop
619,63,2023-10-27,Anúncio,Mobile
620,63,2022-03-08,Anúncio,Mobile
621,63,2022-11-10,Anúncio,Mobile
622,63,2024-04-05,Anúncio,Desktop
623,63,2024-10-22,Email,Desktop
624,63,2024-03-15,Email,Mobile
625,63,2023-06-20,Email,Desktop
626,63,2023-07-31,Orgânico,Mobile
627,63,2024-02-02,Orgânico,Mobile
628,63,2023-09-20,Orgânico,Desktop
629,63,2022-04-15,Redes Sociais,Mobile
630,64,2024-04-02,Redes Sociais,Desktop
631,64,2024-09-08,Email,Desktop
632,64,2024-04-24,Orgânico,Desktop
633,64,2023-05-26,Anúncio,Mobile
634,64,2023-06-24,Email,Desktop
635,64,2022-01-16,Redes Sociais,Mobile
636,64,2022-08-31,Anúncio,Mobile
637,64,2024-06-30,Redes Sociais,Mobile
638,64,2023-12-06,Redes Sociais,Desktop
639,64,2022-04-25,Email,Mobile
640,64,2023-02-01,Anúncio,Mobile
